,500,600
10000,4.838199329376221,5.57759952545166
20000,9.974002361297607,11.74280242919922
30000,15.756599855422973,18.45319766998291
40000,22.08319835662842,25.26360249519348
50000,27.33400163650513,32.130599880218504
60000,34.41119780540466,39.235950994491574
70000,40.87700214385986,45.97640137672424
80000,44.968656587600705,52.9064003944397
90000,50.28200068473816,59.726397371292116
100000,55.859799432754514,66.5886013507843
